actual_time,alliances_blue_score,alliances_blue_team_keys_0,alliances_blue_team_keys_1,alliances_blue_team_keys_2,alliances_red_score,alliances_red_team_keys_0,alliances_red_team_keys_1,alliances_red_team_keys_2,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown_blue_adjustPoints,score_breakdown_blue_autoOwnershipPoints,score_breakdown_blue_autoPoints,score_breakdown_blue_autoQuestRankingPoint,score_breakdown_blue_autoRobot1,score_breakdown_blue_autoRobot2,score_breakdown_blue_autoRobot3,score_breakdown_blue_autoRunPoints,score_breakdown_blue_autoScaleOwnershipSec,score_breakdown_blue_autoSwitchAtZero,score_breakdown_blue_autoSwitchOwnershipSec,score_breakdown_blue_endgamePoints,score_breakdown_blue_endgameRobot1,score_breakdown_blue_endgameRobot2,score_breakdown_blue_endgameRobot3,score_breakdown_blue_faceTheBossRankingPoint,score_breakdown_blue_foulCount,score_breakdown_blue_foulPoints,score_breakdown_blue_rp,score_breakdown_blue_tba_gameData,score_breakdown_blue_techFoulCount,score_breakdown_blue_teleopOwnershipPoints,score_breakdown_blue_teleopPoints,score_breakdown_blue_teleopScaleBoostSec,score_breakdown_blue_teleopScaleForceSec,score_breakdown_blue_teleopScaleOwnershipSec,score_breakdown_blue_teleopSwitchBoostSec,score_breakdown_blue_teleopSwitchForceSec,score_breakdown_blue_teleopSwitchOwnershipSec,score_breakdown_blue_totalPoints,score_breakdown_blue_vaultBoostPlayed,score_breakdown_blue_vaultBoostTotal,score_breakdown_blue_vaultForcePlayed,score_breakdown_blue_vaultForceTotal,score_breakdown_blue_vaultLevitatePlayed,score_breakdown_blue_vaultLevitateTotal,score_breakdown_blue_vaultPoints,score_breakdown_red_adjustPoints,score_breakdown_red_autoOwnershipPoints,score_breakdown_red_autoPoints,score_breakdown_red_autoQuestRankingPoint,score_breakdown_red_autoRobot1,score_breakdown_red_autoRobot2,score_breakdown_red_autoRobot3,score_breakdown_red_autoRunPoints,score_breakdown_red_autoScaleOwnershipSec,score_breakdown_red_autoSwitchAtZero,score_breakdown_red_autoSwitchOwnershipSec,score_breakdown_red_endgamePoints,score_breakdown_red_endgameRobot1,score_breakdown_red_endgameRobot2,score_breakdown_red_endgameRobot3,score_breakdown_red_faceTheBossRankingPoint,score_breakdown_red_foulCount,score_breakdown_red_foulPoints,score_breakdown_red_rp,score_breakdown_red_tba_gameData,score_breakdown_red_techFoulCount,score_breakdown_red_teleopOwnershipPoints,score_breakdown_red_teleopPoints,score_breakdown_red_teleopScaleBoostSec,score_breakdown_red_teleopScaleForceSec,score_breakdown_red_teleopScaleOwnershipSec,score_breakdown_red_teleopSwitchBoostSec,score_breakdown_red_teleopSwitchForceSec,score_breakdown_red_teleopSwitchOwnershipSec,score_breakdown_red_totalPoints,score_breakdown_red_vaultBoostPlayed,score_breakdown_red_vaultBoostTotal,score_breakdown_red_vaultForcePlayed,score_breakdown_red_vaultForceTotal,score_breakdown_red_vaultLevitatePlayed,score_breakdown_red_vaultLevitateTotal,score_breakdown_red_vaultPoints,set_number,time,videos_0_key,videos_0_type,winning_alliance,videos_1_key,videos_1_type,videos_2_key,videos_2_type,videos_3_key,videos_3_type,videos_4_key,videos_4_type,videos_5_key,videos_5_type,alliances_red_dq_team_keys_0,alliances_blue_dq_team_keys_0,alliances_red_dq_team_keys_1,alliances_blue_dq_team_keys_1,alliances_red_dq_team_keys_2,alliances_blue_dq_team_keys_2
1523142817,365,frc399,frc294,frc3390,348,frc330,frc3309,frc2658,f,2018caav,2018caav_f1m1,1,1523143006,1523142841,0,24,39,False,AutoRun,AutoRun,AutoRun,15,3,True,9,40,Parking,Parking,Levitate,False,0,0,0,RLR,0,241,326,0,10,94,10,10,137,365,1,3,3,3,3,3,45,0,26,41,False,AutoRun,AutoRun,AutoRun,15,1,True,12,90,Levitate,Climbing,Climbing,False,0,0,0,RLR,0,187,307,0,10,40,10,0,137,348,1,1,2,2,3,3,30,1,1523143080,ZGXB3LPwFyE,youtube,blue,,,,,,,,,,,,,,,,
1523143671,257,frc399,frc294,frc3390,359,frc330,frc3309,frc2658,f,2018caav,2018caav_f1m2,2,1523144013,1523143803,0,28,43,False,AutoRun,AutoRun,AutoRun,15,5,True,9,65,Parking,Climbing,Levitate,False,1,5,0,RLR,2,114,209,0,0,88,0,10,26,257,1,2,1,1,3,3,30,0,26,41,False,AutoRun,AutoRun,AutoRun,15,0,True,13,65,Parking,Climbing,Levitate,False,1,55,0,RLR,0,173,263,0,10,37,0,0,136,359,0,0,2,2,3,3,25,1,1523143920,5ReWQx6ARQc,youtube,red,,,,,,,,,,,,,,,,
1523144482,275,frc399,frc294,frc3390,437,frc330,frc3309,frc2658,f,2018caav,2018caav_f1m3,3,1523144677,1523144461,0,18,33,False,AutoRun,AutoRun,AutoRun,15,1,True,8,65,Parking,Climbing,Levitate,False,1,10,0,RLR,0,137,232,0,0,2,0,10,135,275,2,2,1,1,3,3,30,0,28,38,False,AutoRun,AutoRun,None,10,2,True,12,90,Levitate,Climbing,Climbing,False,2,5,0,RLR,0,274,394,10,0,118,10,0,136,437,3,3,0,0,3,3,30,1,1523144760,ergWM9rCV5E,youtube,red,,,,,,,,,,,,,,,,
1523133217,63,frc2493,frc6382,frc4014,539,frc330,frc3309,frc2658,qf,2018caav,2018caav_qf1m1,1,1523133411,1523133240,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,5,None,Parking,None,False,4,5,0,RRR,2,23,43,0,0,0,0,0,23,63,0,3,0,0,0,0,15,0,42,57,False,AutoRun,AutoRun,AutoRun,15,9,True,12,90,Levitate,Climbing,Climbing,False,1,70,0,RRR,0,292,412,10,0,136,10,0,136,539,3,3,0,0,3,3,30,1,1523133000,x6McPv-TE20,youtube,red,,,,,,,,,,,,,,,,
1523135534,99,frc2493,frc6382,frc4014,469,frc330,frc3309,frc2658,qf,2018caav,2018caav_qf1m2,2,1523135740,1523135641,0,16,31,False,AutoRun,AutoRun,AutoRun,15,0,True,8,5,None,Parking,None,False,1,5,0,LLL,0,58,63,0,0,0,0,0,58,99,0,0,0,0,0,0,0,0,32,47,False,AutoRun,AutoRun,AutoRun,15,5,True,11,90,Levitate,Climbing,Climbing,False,1,5,0,LLL,0,292,417,10,0,136,10,5,136,469,3,3,1,1,3,3,35,1,1523134920,x6o56VgKALg,youtube,red,,,,,,,,,,,,,,,,
1523133745,396,frc4276,frc5102,frc4322,372,frc3647,frc597,frc5124,qf,2018caav,2018caav_qf2m1,1,1523133935,1523133720,0,18,33,False,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Levitate,Parking,Climbing,False,3,30,0,LRL,1,233,333,2,0,85,10,0,136,396,3,3,0,1,3,3,35,0,22,37,False,AutoRun,AutoRun,AutoRun,15,2,True,9,90,Climbing,Levitate,Climbing,False,6,40,0,LRL,0,170,295,0,10,34,0,0,136,372,2,2,2,2,3,3,35,2,1523133480,6gB72BQ_MOo,youtube,blue,,,,,,,,,,,,,,,,
1523136399,469,frc4276,frc5102,frc4322,312,frc3647,frc597,frc5124,qf,2018caav,2018caav_qf2m2,2,1523136637,1523136420,0,18,33,False,AutoRun,AutoRun,AutoRun,15,0,True,9,90,Climbing,Levitate,Climbing,False,1,45,0,LLL,0,266,391,10,0,113,10,0,133,469,3,3,0,1,3,3,35,0,18,33,False,AutoRun,AutoRun,AutoRun,15,0,True,9,90,Climbing,Levitate,Climbing,False,4,5,0,LLL,1,149,274,0,10,13,0,0,136,312,0,2,2,2,3,3,35,2,1523135400,h111qr0tMns,youtube,blue,,,,,,,,,,,,,,,,
1523134243,248,frc2637,frc1160,frc5805,325,frc3476,frc5012,frc5474,qf,2018caav,2018caav_qf3m1,1,1523134520,1523134381,0,12,27,False,AutoRun,AutoRun,AutoRun,15,0,True,6,40,Levitate,Parking,Parking,False,2,10,0,LLL,0,146,211,0,0,0,10,6,136,248,1,1,1,1,3,3,25,0,2,12,False,AutoRun,AutoRun,None,10,1,False,0,65,Levitate,Climbing,Parking,False,2,10,0,LLL,0,203,303,10,0,124,10,10,59,325,3,3,1,1,3,3,35,3,1523133960,a2mi4xAfueY,youtube,red,,,,,,,,,,,,,,,,
1523137210,285,frc2637,frc1160,frc5805,330,frc3476,frc5012,frc5474,qf,2018caav,2018caav_qf3m2,2,1523137414,1523137201,0,16,31,False,AutoRun,AutoRun,AutoRun,15,2,True,6,35,None,Parking,Climbing,False,0,20,0,RRR,0,184,234,0,10,49,2,0,133,285,1,1,2,2,0,0,15,0,10,25,False,AutoRun,AutoRun,AutoRun,15,5,False,0,60,Climbing,None,Climbing,False,4,0,0,RRR,0,200,305,4,10,59,10,0,127,330,3,3,2,3,0,3,45,3,1523135880,G45d8nWbzpc,youtube,red,,,,,,,,,,,,,,,,
1523134768,388,frc599,frc4470,frc6072,483,frc399,frc294,frc3390,qf,2018caav,2018caav_qf4m1,1,1523135012,1523134860,0,16,31,False,AutoRun,AutoRun,AutoRun,15,0,True,8,90,Climbing,Climbing,Levitate,False,9,85,0,RLR,0,147,272,0,10,11,0,0,136,388,2,2,2,2,3,3,35,0,20,35,False,AutoRun,AutoRun,AutoRun,15,2,True,8,90,Climbing,Climbing,Levitate,False,2,45,0,RLR,3,283,403,10,0,127,10,0,136,483,3,3,0,0,3,3,30,4,1523134440,DqERcNYpc_c,youtube,red,,,,,,,,,,,,,,,,
1523137784,299,frc599,frc4470,frc6072,352,frc399,frc294,frc3390,qf,2018caav,2018caav_qf4m2,2,1523137986,1523137801,0,22,37,False,AutoRun,AutoRun,AutoRun,15,0,True,11,90,Climbing,Climbing,Levitate,False,2,5,0,LRL,0,147,257,0,0,1,10,0,136,299,1,1,0,0,3,3,20,0,16,31,False,AutoRun,AutoRun,AutoRun,15,8,False,0,90,Climbing,Climbing,Levitate,False,1,10,0,LRL,0,201,311,0,0,130,0,10,71,352,0,0,1,1,3,3,20,4,1523136360,fPKEfwGzwjY,youtube,red,,,,,,,,,,,,,,,,
