actual_time,alliances_blue_score,alliances_blue_team_keys_0,alliances_blue_team_keys_1,alliances_blue_team_keys_2,alliances_red_score,alliances_red_team_keys_0,alliances_red_team_keys_1,alliances_red_team_keys_2,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown_blue_adjustPoints,score_breakdown_blue_autoOwnershipPoints,score_breakdown_blue_autoPoints,score_breakdown_blue_autoQuestRankingPoint,score_breakdown_blue_autoRobot1,score_breakdown_blue_autoRobot2,score_breakdown_blue_autoRobot3,score_breakdown_blue_autoRunPoints,score_breakdown_blue_autoScaleOwnershipSec,score_breakdown_blue_autoSwitchAtZero,score_breakdown_blue_autoSwitchOwnershipSec,score_breakdown_blue_endgamePoints,score_breakdown_blue_endgameRobot1,score_breakdown_blue_endgameRobot2,score_breakdown_blue_endgameRobot3,score_breakdown_blue_faceTheBossRankingPoint,score_breakdown_blue_foulCount,score_breakdown_blue_foulPoints,score_breakdown_blue_rp,score_breakdown_blue_tba_gameData,score_breakdown_blue_techFoulCount,score_breakdown_blue_teleopOwnershipPoints,score_breakdown_blue_teleopPoints,score_breakdown_blue_teleopScaleBoostSec,score_breakdown_blue_teleopScaleForceSec,score_breakdown_blue_teleopScaleOwnershipSec,score_breakdown_blue_teleopSwitchBoostSec,score_breakdown_blue_teleopSwitchForceSec,score_breakdown_blue_teleopSwitchOwnershipSec,score_breakdown_blue_totalPoints,score_breakdown_blue_vaultBoostPlayed,score_breakdown_blue_vaultBoostTotal,score_breakdown_blue_vaultForcePlayed,score_breakdown_blue_vaultForceTotal,score_breakdown_blue_vaultLevitatePlayed,score_breakdown_blue_vaultLevitateTotal,score_breakdown_blue_vaultPoints,score_breakdown_red_adjustPoints,score_breakdown_red_autoOwnershipPoints,score_breakdown_red_autoPoints,score_breakdown_red_autoQuestRankingPoint,score_breakdown_red_autoRobot1,score_breakdown_red_autoRobot2,score_breakdown_red_autoRobot3,score_breakdown_red_autoRunPoints,score_breakdown_red_autoScaleOwnershipSec,score_breakdown_red_autoSwitchAtZero,score_breakdown_red_autoSwitchOwnershipSec,score_breakdown_red_endgamePoints,score_breakdown_red_endgameRobot1,score_breakdown_red_endgameRobot2,score_breakdown_red_endgameRobot3,score_breakdown_red_faceTheBossRankingPoint,score_breakdown_red_foulCount,score_breakdown_red_foulPoints,score_breakdown_red_rp,score_breakdown_red_tba_gameData,score_breakdown_red_techFoulCount,score_breakdown_red_teleopOwnershipPoints,score_breakdown_red_teleopPoints,score_breakdown_red_teleopScaleBoostSec,score_breakdown_red_teleopScaleForceSec,score_breakdown_red_teleopScaleOwnershipSec,score_breakdown_red_teleopSwitchBoostSec,score_breakdown_red_teleopSwitchForceSec,score_breakdown_red_teleopSwitchOwnershipSec,score_breakdown_red_totalPoints,score_breakdown_red_vaultBoostPlayed,score_breakdown_red_vaultBoostTotal,score_breakdown_red_vaultForcePlayed,score_breakdown_red_vaultForceTotal,score_breakdown_red_vaultLevitatePlayed,score_breakdown_red_vaultLevitateTotal,score_breakdown_red_vaultPoints,set_number,time,videos_0_key,videos_0_type,winning_alliance,videos_1_key,videos_1_type,videos_2_key,videos_2_type,videos_3_key,videos_3_type,videos_4_key,videos_4_type,videos_5_key,videos_5_type,alliances_red_dq_team_keys_0,alliances_blue_dq_team_keys_0,alliances_red_dq_team_keys_1,alliances_blue_dq_team_keys_1,alliances_red_dq_team_keys_2,alliances_blue_dq_team_keys_2
1523134243,248,frc2637,frc1160,frc5805,325,frc3476,frc5012,frc5474,qf,2018caav,2018caav_qf3m1,1,1523134520,1523134381,0,12,27,False,AutoRun,AutoRun,AutoRun,15,0,True,6,40,Levitate,Parking,Parking,False,2,10,0,LLL,0,146,211,0,0,0,10,6,136,248,1,1,1,1,3,3,25,0,2,12,False,AutoRun,AutoRun,None,10,1,False,0,65,Levitate,Climbing,Parking,False,2,10,0,LLL,0,203,303,10,0,124,10,10,59,325,3,3,1,1,3,3,35,3,1523133960,a2mi4xAfueY,youtube,red,,,,,,,,,,,,,,,,
1523137210,285,frc2637,frc1160,frc5805,330,frc3476,frc5012,frc5474,qf,2018caav,2018caav_qf3m2,2,1523137414,1523137201,0,16,31,False,AutoRun,AutoRun,AutoRun,15,2,True,6,35,None,Parking,Climbing,False,0,20,0,RRR,0,184,234,0,10,49,2,0,133,285,1,1,2,2,0,0,15,0,10,25,False,AutoRun,AutoRun,AutoRun,15,5,False,0,60,Climbing,None,Climbing,False,4,0,0,RRR,0,200,305,4,10,59,10,0,127,330,3,3,2,3,0,3,45,3,1523135880,G45d8nWbzpc,youtube,red,,,,,,,,,,,,,,,,
1523035343,230,frc2493,frc4255,frc1160,445,frc2429,frc4276,frc3309,qm,2018caav,2018caav_qm11,11,1523035535,1523035501,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,35,Parking,Levitate,None,False,2,5,1,RRR,0,128,198,0,10,11,10,0,107,230,1,1,2,3,3,3,35,0,38,53,True,AutoRun,AutoRun,AutoRun,15,10,True,9,65,Levitate,Parking,Climbing,False,1,10,3,RRR,0,282,382,10,0,126,10,10,136,445,3,3,1,1,3,3,35,1,1523035200,TqsnnZTeKQc,youtube,red,,,,,,,,,,,,,,,,
1523037000,386,frc4470,frc1160,frc2429,289,frc294,frc4191,frc4014,qm,2018caav,2018caav_qm15,15,1523037191,1523037060,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,40,Climbing,Parking,Parking,False,0,25,3,RLR,1,274,334,10,0,118,10,0,136,386,3,3,0,0,0,1,20,0,22,32,False,AutoRun,None,AutoRun,10,0,True,11,40,Parking,Parking,Levitate,False,0,25,0,RLR,1,157,232,0,10,11,10,10,136,289,1,1,3,3,3,3,35,1,1523037120,RuRWygoTeek,youtube,blue,,,,,,,,,,,,,,,,
1523038841,146,frc1160,frc702,frc2429,500,frc6072,frc4470,frc294,qm,2018caav,2018caav_qm19,19,1523039079,1523038981,0,8,23,True,AutoRun,AutoRun,AutoRun,15,0,True,4,65,Parking,Levitate,Climbing,False,2,0,1,LRL,2,38,123,0,0,0,0,0,38,146,0,1,0,0,3,3,20,0,28,43,True,AutoRun,AutoRun,AutoRun,15,8,True,6,90,Levitate,Climbing,Climbing,True,0,60,4,LRL,0,282,397,10,0,136,0,0,136,500,2,2,0,0,3,3,25,1,1523039040,6W6yCP9UQzo,youtube,red,,,,,,,,,,,,,,,,
1523046530,179,frc585,frc599,frc2339,470,frc981,frc1160,frc3309,qm,2018caav,2018caav_qm27,27,1523046771,1523046559,0,16,26,False,AutoRun,None,AutoRun,10,8,False,0,40,Parking,Levitate,Parking,False,5,55,0,RLR,1,43,98,0,0,27,0,0,16,179,0,0,0,0,3,3,15,0,24,39,True,AutoRun,AutoRun,AutoRun,15,0,True,12,90,Levitate,Climbing,Climbing,True,1,50,4,RLR,2,256,381,10,0,100,10,0,136,470,3,3,0,1,3,3,35,1,1523046480,uwOlJejMc9M,youtube,red,,,,,,,,,,,,,,,,
1523049448,389,frc1160,frc6382,frc3476,358,frc980,frc981,frc597,qm,2018caav,2018caav_qm33,33,1523049644,1523049482,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Levitate,Parking,Parking,False,3,25,3,LLL,2,252,327,10,0,106,0,0,136,389,2,2,0,2,3,3,35,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Climbing,Parking,Levitate,False,0,65,1,LLL,1,150,260,0,0,15,0,10,135,358,2,3,1,3,3,3,45,1,1523049360,Cu0N7zeXPJE,youtube,blue,,,,,,,,,,,,,,,,
1523032360,426,frc6072,frc399,frc2658,106,frc5869,frc3476,frc1160,qm,2018caav,2018caav_qm4,4,1523032566,1523032397,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,40,Levitate,Parking,Parking,False,0,25,3,LRL,0,285,370,10,1,129,10,1,136,426,3,3,3,3,3,3,45,0,0,10,False,None,AutoRun,AutoRun,10,0,False,0,65,Levitate,Climbing,Parking,False,0,0,0,LRL,1,11,96,0,0,0,0,10,11,106,0,0,1,1,3,3,20,1,1523031840,XKBLYEcnLN8,youtube,blue,,,,,,,,,,,,,,,,
1523053264,293,frc330,frc981,frc3669,253,frc1160,frc5805,frc4014,qm,2018caav,2018caav_qm42,42,1523053552,1523053441,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,65,Climbing,Climbing,Parking,False,0,0,3,LLL,0,183,258,6,0,96,0,0,81,293,2,2,0,0,0,0,10,0,8,18,False,AutoRun,AutoRun,None,10,0,True,4,60,None,Climbing,Levitate,False,0,0,0,LLL,0,155,235,0,0,19,0,0,136,253,0,1,0,0,3,3,20,1,1523053680,xDvXHRsySR8,youtube,blue,,,,,,,,,,,,,,,,
1523055668,446,frc6060,frc1160,frc3647,222,frc981,frc2493,frc6072,qm,2018caav,2018caav_qm47,47,1523055868,1523055780,0,12,27,True,AutoRun,AutoRun,AutoRun,15,0,True,6,90,Climbing,Levitate,Climbing,True,8,30,4,LLL,0,274,389,10,0,128,0,0,136,446,2,2,0,0,3,3,25,0,10,25,True,AutoRun,AutoRun,AutoRun,15,0,True,5,35,Parking,Levitate,None,False,1,40,1,LLL,1,102,157,0,0,0,0,8,102,222,0,0,1,1,3,3,20,1,1523056080,T3SZqJVuUjg,youtube,blue,,,,,,,,,,,,,,,,
