actual_time,alliances_blue_score,alliances_blue_team_keys_0,alliances_blue_team_keys_1,alliances_blue_team_keys_2,alliances_red_score,alliances_red_team_keys_0,alliances_red_team_keys_1,alliances_red_team_keys_2,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown_blue_adjustPoints,score_breakdown_blue_autoOwnershipPoints,score_breakdown_blue_autoPoints,score_breakdown_blue_autoQuestRankingPoint,score_breakdown_blue_autoRobot1,score_breakdown_blue_autoRobot2,score_breakdown_blue_autoRobot3,score_breakdown_blue_autoRunPoints,score_breakdown_blue_autoScaleOwnershipSec,score_breakdown_blue_autoSwitchAtZero,score_breakdown_blue_autoSwitchOwnershipSec,score_breakdown_blue_endgamePoints,score_breakdown_blue_endgameRobot1,score_breakdown_blue_endgameRobot2,score_breakdown_blue_endgameRobot3,score_breakdown_blue_faceTheBossRankingPoint,score_breakdown_blue_foulCount,score_breakdown_blue_foulPoints,score_breakdown_blue_rp,score_breakdown_blue_tba_gameData,score_breakdown_blue_techFoulCount,score_breakdown_blue_teleopOwnershipPoints,score_breakdown_blue_teleopPoints,score_breakdown_blue_teleopScaleBoostSec,score_breakdown_blue_teleopScaleForceSec,score_breakdown_blue_teleopScaleOwnershipSec,score_breakdown_blue_teleopSwitchBoostSec,score_breakdown_blue_teleopSwitchForceSec,score_breakdown_blue_teleopSwitchOwnershipSec,score_breakdown_blue_totalPoints,score_breakdown_blue_vaultBoostPlayed,score_breakdown_blue_vaultBoostTotal,score_breakdown_blue_vaultForcePlayed,score_breakdown_blue_vaultForceTotal,score_breakdown_blue_vaultLevitatePlayed,score_breakdown_blue_vaultLevitateTotal,score_breakdown_blue_vaultPoints,score_breakdown_red_adjustPoints,score_breakdown_red_autoOwnershipPoints,score_breakdown_red_autoPoints,score_breakdown_red_autoQuestRankingPoint,score_breakdown_red_autoRobot1,score_breakdown_red_autoRobot2,score_breakdown_red_autoRobot3,score_breakdown_red_autoRunPoints,score_breakdown_red_autoScaleOwnershipSec,score_breakdown_red_autoSwitchAtZero,score_breakdown_red_autoSwitchOwnershipSec,score_breakdown_red_endgamePoints,score_breakdown_red_endgameRobot1,score_breakdown_red_endgameRobot2,score_breakdown_red_endgameRobot3,score_breakdown_red_faceTheBossRankingPoint,score_breakdown_red_foulCount,score_breakdown_red_foulPoints,score_breakdown_red_rp,score_breakdown_red_tba_gameData,score_breakdown_red_techFoulCount,score_breakdown_red_teleopOwnershipPoints,score_breakdown_red_teleopPoints,score_breakdown_red_teleopScaleBoostSec,score_breakdown_red_teleopScaleForceSec,score_breakdown_red_teleopScaleOwnershipSec,score_breakdown_red_teleopSwitchBoostSec,score_breakdown_red_teleopSwitchForceSec,score_breakdown_red_teleopSwitchOwnershipSec,score_breakdown_red_totalPoints,score_breakdown_red_vaultBoostPlayed,score_breakdown_red_vaultBoostTotal,score_breakdown_red_vaultForcePlayed,score_breakdown_red_vaultForceTotal,score_breakdown_red_vaultLevitatePlayed,score_breakdown_red_vaultLevitateTotal,score_breakdown_red_vaultPoints,set_number,time,videos_0_key,videos_0_type,winning_alliance,videos_1_key,videos_1_type,videos_2_key,videos_2_type,videos_3_key,videos_3_type,videos_4_key,videos_4_type,videos_5_key,videos_5_type,alliances_red_dq_team_keys_0,alliances_blue_dq_team_keys_0,alliances_red_dq_team_keys_1,alliances_blue_dq_team_keys_1,alliances_red_dq_team_keys_2,alliances_blue_dq_team_keys_2,alliances_red_surrogate_team_keys_0,alliances_blue_surrogate_team_keys_0,alliances_red_surrogate_team_keys_1,alliances_blue_surrogate_team_keys_1,alliances_red_surrogate_team_keys_2,alliances_blue_surrogate_team_keys_2
1524330144,203,frc1706,frc3339,frc2974,460,frc2976,frc148,frc254,f,2018hop,2018hop_f1m1,1,1524330316,1524330122,0,24,39,False,AutoRun,AutoRun,AutoRun,15,0,True,12,35,None,Climbing,Parking,False,3,5,0,LRL,1,114,159,0,0,2,0,7,112,203,0,1,1,1,0,0,10,0,32,47,False,AutoRun,AutoRun,AutoRun,15,7,True,9,90,Levitate,Climbing,Climbing,False,1,40,0,LRL,0,268,373,0,0,132,0,0,136,460,0,0,0,0,3,3,15,1,1524330000,Enk5CrRnrn0,youtube,red,,,,,,,,,,,,,,,,,,,,,,
1524330977,167,frc1706,frc3339,frc2974,363,frc3075,frc148,frc254,f,2018hop,2018hop_f1m2,2,1524331152,1524331020,0,22,37,False,AutoRun,AutoRun,AutoRun,15,0,True,11,35,Climbing,Parking,None,False,0,30,0,LLL,0,60,100,0,0,0,0,0,60,167,1,1,0,0,0,0,5,0,28,43,False,AutoRun,AutoRun,AutoRun,15,4,True,10,60,None,Levitate,Climbing,False,1,0,0,LLL,1,240,320,0,0,120,2,0,118,363,1,1,0,0,3,3,20,1,1524330780,RFKK10_EwdQ,youtube,red,,,,,,,,,,,,,,,,,,,,,,
1524321185,305,frc1156,frc5496,frc456,453,frc2976,frc148,frc254,qf,2018hop,2018hop_qf1m1,1,1524321357,1524321181,0,16,31,False,AutoRun,AutoRun,AutoRun,15,0,True,8,35,Levitate,Parking,None,False,1,75,0,RLR,1,144,199,0,0,0,10,0,134,305,1,1,0,0,3,3,20,0,36,46,False,AutoRun,AutoRun,None,10,10,True,8,90,Climbing,Levitate,Climbing,False,0,30,0,RLR,3,272,377,0,0,136,0,0,136,453,0,0,0,0,3,3,15,1,1524321000,tqx5xmzftjw,youtube,red,,,,,,,,,,,,,,,,,,,,,,
1524323382,285,frc1156,frc4400,frc456,425,frc2976,frc148,frc254,qf,2018hop,2018hop_qf1m2,2,1524323607,1524323523,0,18,33,False,AutoRun,AutoRun,AutoRun,15,0,True,9,60,None,Levitate,Climbing,False,1,5,0,LLL,1,157,247,0,10,11,10,0,136,285,1,1,2,2,3,3,30,0,20,35,False,AutoRun,AutoRun,AutoRun,15,10,False,0,90,Climbing,Levitate,Climbing,False,1,30,0,LLL,0,255,360,0,0,127,0,0,128,425,0,0,0,0,3,3,15,1,1524322680,CFlSkYJ39tc,youtube,red,,,,,,,,,,,,,,,,,,,,,,
1524321615,352,frc2990,frc294,frc5572,247,frc3397,frc2992,frc6705,qf,2018hop,2018hop_qf2m1,1,1524321801,1524321661,0,42,57,False,AutoRun,AutoRun,AutoRun,15,10,True,11,65,Levitate,Parking,Climbing,False,1,0,0,LLL,0,205,295,10,0,127,0,0,68,352,2,2,0,0,3,3,25,0,20,35,False,AutoRun,AutoRun,AutoRun,15,0,True,10,40,Parking,Parking,Levitate,False,0,5,0,LLL,0,137,207,0,10,11,10,0,116,247,1,1,2,2,3,3,30,2,1524321420,55R7DWx5AQI,youtube,blue,,,,,,,,,,,,,,,,,,,,,,
1524323824,379,frc2990,frc5572,frc3223,351,frc3397,frc6705,frc2992,qf,2018hop,2018hop_qf2m2,2,1524324019,1524323941,0,40,55,False,AutoRun,AutoRun,AutoRun,15,9,True,11,60,None,Climbing,Levitate,False,1,10,0,LLL,0,209,314,5,10,58,10,0,136,379,3,3,2,3,3,3,45,0,20,35,False,AutoRun,AutoRun,AutoRun,15,0,True,10,90,Levitate,Climbing,Climbing,False,2,5,0,LLL,0,186,311,0,1,50,0,0,136,351,2,2,2,2,3,3,35,2,1524323100,VoKSQN55d34,youtube,blue,,,,,,,,,,,,,,,,,,,,,,
1524322061,268,frc359,frc7039,frc3489,403,frc3284,frc399,frc973,qf,2018hop,2018hop_qf3m1,1,1524322263,1524322080,0,18,33,False,AutoRun,AutoRun,AutoRun,15,1,True,8,65,Climbing,Parking,Levitate,False,1,5,0,RRR,0,130,230,0,10,39,0,0,91,268,2,2,2,2,3,3,35,0,16,31,False,AutoRun,AutoRun,AutoRun,15,0,True,8,90,Climbing,Levitate,Climbing,False,1,5,0,RRR,0,247,367,10,0,93,10,0,134,403,3,3,0,0,3,3,30,3,1524321840,LXYCyGhR5LA,youtube,red,,,,,,,,,,,,,,,,,,,,,,
1524324269,338,frc359,frc7039,frc3489,275,frc3284,frc399,frc973,qf,2018hop,2018hop_qf3m2,2,1524324473,1524324301,0,30,45,False,AutoRun,AutoRun,AutoRun,15,6,True,9,65,Parking,Climbing,Levitate,False,0,10,0,RRR,0,193,283,0,10,57,0,0,136,338,0,0,2,2,3,3,25,0,18,33,False,AutoRun,AutoRun,AutoRun,15,1,True,8,35,Levitate,None,Parking,False,2,0,0,RRR,0,182,242,0,10,46,0,0,136,275,0,0,2,2,3,3,25,3,1524323520,BBD_ISo1XPU,youtube,blue,,,,,,,,,,,,,,,,,,,,,,
1524325452,338,frc359,frc7039,frc3489,316,frc3970,frc399,frc973,qf,2018hop,2018hop_qf3m3,3,1524325657,1524325563,0,20,35,False,AutoRun,AutoRun,AutoRun,15,1,True,9,60,Climbing,Levitate,None,False,1,5,0,RLR,1,203,298,0,0,67,0,10,136,338,0,2,1,2,3,3,35,0,26,41,False,AutoRun,AutoRun,AutoRun,15,4,True,9,30,None,Levitate,None,False,1,30,0,RLR,0,185,245,0,0,64,0,0,121,316,1,1,0,2,3,3,30,3,1524325560,hqNo-tLCT1s,youtube,blue,,,,,,,,,,,,,,,,,,,,,,
1524322484,437,frc1902,frc180,frc6025,333,frc3339,frc2974,frc1706,qf,2018hop,2018hop_qf4m1,1,1524322691,1524322504,0,30,45,False,AutoRun,AutoRun,AutoRun,15,4,True,11,90,Climbing,Climbing,Levitate,False,0,10,0,LRL,0,252,382,10,10,96,10,0,136,437,3,3,2,2,3,3,40,0,26,41,False,AutoRun,AutoRun,AutoRun,15,2,True,11,90,Climbing,Climbing,Levitate,False,2,0,0,LRL,0,172,292,0,10,26,10,0,136,333,1,1,2,2,3,3,30,4,1524322260,5ytF6Rc9hlY,youtube,blue,,,,,,,,,,,,,,,,,,,,,,
