actual_time,alliances_blue_score,alliances_blue_team_keys_0,alliances_blue_team_keys_1,alliances_blue_team_keys_2,alliances_red_score,alliances_red_team_keys_0,alliances_red_team_keys_1,alliances_red_team_keys_2,comp_level,event_key,key,match_number,post_result_time,predicted_time,score_breakdown_blue_adjustPoints,score_breakdown_blue_autoOwnershipPoints,score_breakdown_blue_autoPoints,score_breakdown_blue_autoQuestRankingPoint,score_breakdown_blue_autoRobot1,score_breakdown_blue_autoRobot2,score_breakdown_blue_autoRobot3,score_breakdown_blue_autoRunPoints,score_breakdown_blue_autoScaleOwnershipSec,score_breakdown_blue_autoSwitchAtZero,score_breakdown_blue_autoSwitchOwnershipSec,score_breakdown_blue_endgamePoints,score_breakdown_blue_endgameRobot1,score_breakdown_blue_endgameRobot2,score_breakdown_blue_endgameRobot3,score_breakdown_blue_faceTheBossRankingPoint,score_breakdown_blue_foulCount,score_breakdown_blue_foulPoints,score_breakdown_blue_rp,score_breakdown_blue_tba_gameData,score_breakdown_blue_techFoulCount,score_breakdown_blue_teleopOwnershipPoints,score_breakdown_blue_teleopPoints,score_breakdown_blue_teleopScaleBoostSec,score_breakdown_blue_teleopScaleForceSec,score_breakdown_blue_teleopScaleOwnershipSec,score_breakdown_blue_teleopSwitchBoostSec,score_breakdown_blue_teleopSwitchForceSec,score_breakdown_blue_teleopSwitchOwnershipSec,score_breakdown_blue_totalPoints,score_breakdown_blue_vaultBoostPlayed,score_breakdown_blue_vaultBoostTotal,score_breakdown_blue_vaultForcePlayed,score_breakdown_blue_vaultForceTotal,score_breakdown_blue_vaultLevitatePlayed,score_breakdown_blue_vaultLevitateTotal,score_breakdown_blue_vaultPoints,score_breakdown_red_adjustPoints,score_breakdown_red_autoOwnershipPoints,score_breakdown_red_autoPoints,score_breakdown_red_autoQuestRankingPoint,score_breakdown_red_autoRobot1,score_breakdown_red_autoRobot2,score_breakdown_red_autoRobot3,score_breakdown_red_autoRunPoints,score_breakdown_red_autoScaleOwnershipSec,score_breakdown_red_autoSwitchAtZero,score_breakdown_red_autoSwitchOwnershipSec,score_breakdown_red_endgamePoints,score_breakdown_red_endgameRobot1,score_breakdown_red_endgameRobot2,score_breakdown_red_endgameRobot3,score_breakdown_red_faceTheBossRankingPoint,score_breakdown_red_foulCount,score_breakdown_red_foulPoints,score_breakdown_red_rp,score_breakdown_red_tba_gameData,score_breakdown_red_techFoulCount,score_breakdown_red_teleopOwnershipPoints,score_breakdown_red_teleopPoints,score_breakdown_red_teleopScaleBoostSec,score_breakdown_red_teleopScaleForceSec,score_breakdown_red_teleopScaleOwnershipSec,score_breakdown_red_teleopSwitchBoostSec,score_breakdown_red_teleopSwitchForceSec,score_breakdown_red_teleopSwitchOwnershipSec,score_breakdown_red_totalPoints,score_breakdown_red_vaultBoostPlayed,score_breakdown_red_vaultBoostTotal,score_breakdown_red_vaultForcePlayed,score_breakdown_red_vaultForceTotal,score_breakdown_red_vaultLevitatePlayed,score_breakdown_red_vaultLevitateTotal,score_breakdown_red_vaultPoints,set_number,time,videos_0_key,videos_0_type,winning_alliance,videos_1_key,videos_1_type,videos_2_key,videos_2_type,videos_3_key,videos_3_type,videos_4_key,videos_4_type,videos_5_key,videos_5_type,alliances_red_dq_team_keys_0,alliances_blue_dq_team_keys_0,alliances_red_dq_team_keys_1,alliances_blue_dq_team_keys_1,alliances_red_dq_team_keys_2,alliances_blue_dq_team_keys_2
1521932323,487,frc987,frc842,frc3965,177,frc399,frc687,frc6824,f,2018nvlv,2018nvlv_f1m1,1,1521932548,1521932344,0,30,45,False,AutoRun,AutoRun,AutoRun,15,5,True,10,65,Climbing,Levitate,Parking,False,0,80,0,LRL,0,267,362,10,0,110,10,0,137,487,3,3,0,0,3,3,30,0,20,35,False,AutoRun,AutoRun,AutoRun,15,0,True,10,60,Climbing,Levitate,None,False,1,0,0,LRL,3,67,142,0,0,16,0,0,51,177,0,0,0,0,3,3,15,1,1521932400,uBsxFqulntE,youtube,blue,,,,,,,,,,,,,,,,
1521933411,460,frc987,frc842,frc3965,172,frc399,frc687,frc6824,f,2018nvlv,2018nvlv_f1m2,2,1521933622,1521933421,0,38,53,False,AutoRun,AutoRun,AutoRun,15,9,True,10,90,Climbing,Levitate,Climbing,False,2,0,0,RLR,1,287,407,10,0,130,10,0,137,460,3,3,0,0,3,3,30,0,22,37,False,AutoRun,AutoRun,AutoRun,15,0,True,11,30,Climbing,None,None,False,0,35,0,RLR,0,60,100,0,0,5,9,0,46,172,1,1,0,0,0,1,10,1,1521933180,YsQAgLb8jYA,youtube,blue,,,,,,,,,,,,,,,,
1521923409,337,frc3495,frc4738,frc4,310,frc3255,frc2485,frc6411,qf,2018nvlv,2018nvlv_qf1m1,1,1521923616,1521923461,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,35,Parking,Levitate,None,False,0,0,0,LRL,0,242,322,10,10,95,10,10,127,337,3,3,3,3,3,3,45,0,14,29,False,AutoRun,AutoRun,AutoRun,15,0,True,7,65,Levitate,Climbing,Parking,False,0,0,0,LRL,0,171,281,0,10,24,10,10,137,310,1,3,3,3,3,3,45,1,1521923400,m7WqWSitAiw,youtube,blue,,,,,,,,,,,,,,,,
1521925593,397,frc3495,frc4738,frc4,351,frc3255,frc2485,frc6411,qf,2018nvlv,2018nvlv_qf1m2,2,1521925824,1521925622,0,10,25,False,AutoRun,AutoRun,AutoRun,15,0,True,5,90,Climbing,Levitate,Climbing,False,3,0,0,LLL,0,247,372,10,0,93,10,0,134,397,3,3,0,1,3,3,35,0,20,35,False,AutoRun,AutoRun,AutoRun,15,2,True,8,65,Levitate,Climbing,Parking,False,0,15,0,LLL,0,191,301,0,10,44,10,10,137,351,1,3,3,3,3,3,45,1,1521925080,vtos7OBZmzQ,youtube,blue,,,,,,,,,,,,,,,,
1521923848,278,frc4486,frc2543,frc5059,292,frc399,frc687,frc6824,qf,2018nvlv,2018nvlv_qf2m1,1,1521924050,1521923849,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,65,Parking,Climbing,Levitate,False,1,0,0,LLL,0,168,263,10,0,70,0,10,88,278,2,2,1,1,3,3,30,0,22,37,False,AutoRun,AutoRun,AutoRun,15,0,True,11,65,Climbing,Parking,Levitate,False,0,5,0,LLL,0,170,250,0,0,33,0,0,137,292,0,0,0,0,3,3,15,2,1521923820,HU2HORzO7nM,youtube,red,,,,,,,,,,,,,,,,
1521926084,351,frc4486,frc2543,frc5059,364,frc399,frc687,frc6824,qf,2018nvlv,2018nvlv_qf2m2,2,1521926357,1521926101,0,12,27,False,AutoRun,AutoRun,AutoRun,15,3,True,3,60,None,Climbing,Levitate,False,4,25,0,LRL,1,219,299,0,0,82,0,0,137,351,0,1,0,0,3,3,20,0,22,37,False,AutoRun,AutoRun,AutoRun,15,0,True,11,65,Climbing,Levitate,Parking,False,0,45,0,LRL,1,187,282,0,10,48,2,0,137,364,1,1,2,2,3,3,30,2,1521925500,vImwtUC4OWM,youtube,red,,,,,,,,,,,,,,,,
1521924498,292,frc1160,frc1388,frc60,467,frc987,frc842,frc3965,qf,2018nvlv,2018nvlv_qf3m1,1,1521924831,1521924721,0,14,29,False,AutoRun,AutoRun,AutoRun,15,0,True,7,65,Climbing,Parking,Levitate,False,0,25,0,RLR,1,128,238,0,10,11,10,0,107,292,1,3,2,3,3,3,45,0,32,47,False,AutoRun,AutoRun,AutoRun,15,6,True,10,65,Climbing,Levitate,Parking,False,0,25,0,RLR,1,285,395,10,9,128,10,9,137,467,3,3,3,3,3,3,45,3,1521924240,k6_wjvBQ4aw,youtube,red,,,,,,,,,,,,,,,,
1521926563,260,frc1160,frc1388,frc60,436,frc987,frc842,frc3965,qf,2018nvlv,2018nvlv_qf3m2,2,1521926764,1521926582,0,18,33,False,AutoRun,AutoRun,AutoRun,15,0,True,9,40,Parking,Levitate,Parking,False,0,5,0,RLR,2,147,222,0,10,11,10,0,126,260,1,2,2,2,3,3,35,0,30,45,False,AutoRun,AutoRun,AutoRun,15,9,True,6,90,Climbing,Levitate,Climbing,False,1,50,0,RLR,0,216,341,10,0,128,0,0,78,436,3,3,0,1,3,3,35,3,1521925920,10aGgNllgvg,youtube,red,,,,,,,,,,,,,,,,
1521925121,290,frc5012,frc3009,frc2659,303,frc5285,frc2710,frc3021,qf,2018nvlv,2018nvlv_qf4m1,1,1521925329,1521925141,0,10,25,False,AutoRun,AutoRun,AutoRun,15,5,False,0,5,Parking,None,None,False,1,60,0,RLR,0,175,205,0,10,45,0,10,130,290,0,0,3,3,0,2,25,0,16,31,False,AutoRun,AutoRun,AutoRun,15,0,True,8,65,Levitate,Parking,Climbing,False,2,5,0,RLR,2,167,267,0,10,89,8,0,70,303,1,2,2,2,3,3,35,4,1521924660,KaGal8aSWA8,youtube,red,,,,,,,,,,,,,,,,
1521927187,332,frc5012,frc3009,frc2659,213,frc5285,frc2710,frc3021,qf,2018nvlv,2018nvlv_qf4m2,2,1521927462,1521927240,0,32,47,False,AutoRun,AutoRun,AutoRun,15,5,True,11,40,Parking,Levitate,Parking,False,1,0,0,RLR,0,220,285,0,0,83,0,0,137,332,2,2,0,0,3,3,25,0,16,31,False,AutoRun,AutoRun,AutoRun,15,0,True,8,65,Climbing,Parking,Levitate,False,0,5,0,RLR,0,97,177,0,0,21,0,0,76,213,0,0,0,0,3,3,15,4,1521926340,WLtiW_xBTTc,youtube,blue,,,,,,,,,,,,,,,,
